nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud
Madrid,Madrid,28005,,,"locality, political",40.41672790000001,-3.7032905
Hotel Puerta de Toledo,"Glorieta de la Puerta de Toledo, 4, Madrid",28005,4.3,3822.0,"lodging, point_of_interest, establishment",40.4063206,-3.7122787
Hotel NH Madrid Ribera del Manzanares,"Paseo de la Virgen del Puerto, 57, Madrid",28005,4.4,3669.0,"lodging, point_of_interest, establishment",40.40634,-3.721825999999999
Hotel Praga,"Calle de Antonio López, 65, Madrid",28005,4.1,7543.0,"lodging, point_of_interest, establishment",40.394073,-3.707562
Petit Palace Posada del Peine,"Calle de Postas, 17, Madrid",28005,4.4,1179.0,"lodging, point_of_interest, establishment",40.41571,-3.7060284
ME Madrid Reina Victoria,"Plaza de Santa Ana, 14, Madrid",28005,4.4,2509.0,"lodging, point_of_interest, establishment",40.414601,-3.701377000000001
AC Hotel Carlton Madrid,"Paseo de las Delicias, 26, Madrid",28005,4.3,1608.0,"lodging, point_of_interest, establishment",40.4051228,-3.6937021
Hotel Victoria 4,"Calle de la Victoria, 4, Madrid",28005,4.1,1098.0,"lodging, point_of_interest, establishment",40.416379,-3.701742399999999
Hotel Europa,"Calle del Carmen, 4, Madrid",28005,4.4,2060.0,"lodging, point_of_interest, establishment",40.4175032,-3.7033915
Mediodía Hotel,"Plaza del Emperador Carlos V, 8, Madrid",28005,4.2,3383.0,"lodging, point_of_interest, establishment",40.4085732,-3.692866899999999
Hotel Quatro Puerta Del Sol,"Calle de Sevilla, 4, Madrid",28005,4.0,1125.0,"lodging, point_of_interest, establishment",40.41706469999999,-3.6999545
Hotel Urban,"Carrera de San Jerónimo, 34, Madrid",28005,4.5,1911.0,"lodging, point_of_interest, establishment",40.4164449,-3.6986026
Hotel Regina Madrid,"Calle Alcalá, 19, Madrid",28005,4.5,2710.0,"lodging, point_of_interest, establishment",40.4179133,-3.699877499999999
AC Hotel Atocha,"Calle de las Delicias, 42, Madrid",28005,4.3,1867.0,"lodging, point_of_interest, establishment",40.4038003,-3.6900165
Vincci Capitol Hotel,"Gran Vía, 41, Madrid",28005,4.4,2626.0,"lodging, point_of_interest, establishment",40.420444,-3.706584
Eurostars Madrid Gran Vía,"Calle de Leganitos, 13, Madrid",28005,4.1,1375.0,"lodging, point_of_interest, establishment",40.4212153,-3.7099122
Hotel NH Madrid Atocha,"Paseo de la Infanta Isabel, 9, Madrid",28005,4.2,1560.0,"lodging, point_of_interest, establishment",40.40769,-3.689457
INNSiDE by Meliá Madrid Gran Vía,"Calle de Mesonero Romanos, 13, Madrid",28005,4.3,1801.0,"lodging, point_of_interest, establishment",40.420612,-3.703958
Petit Palace Triball,"Calle Gonzalo Jiménez de Quesada, 2, Madrid",28005,4.5,1726.0,"lodging, point_of_interest, establishment",40.42056549999999,-3.7029078
Centro,Centro,28005,,,"sublocality_level_1, sublocality, political",40.4167234,-3.7033851
Hostal Puerta del Sol,"Puerta del Sol, 14, Madrid",28005,4.0,276.0,"lodging, point_of_interest, establishment",40.4171537,-3.7025296
Corral de la Morería,"Calle de la Moreria, 17, Madrid",28005,4.4,3767.0,"restaurant, point_of_interest, food, establishment",40.4126689,-3.7142336
Posada Del Dragón,"Calle de la Cava Baja, 14, Madrid",28005,4.3,1258.0,"lodging, clothing_store, point_of_interest, store, establishment",40.4131012,-3.7086039
"Mandarin Oriental Ritz, Madrid","Plaza de la Lealtad, 5, Madrid",28005,4.7,3941.0,"spa, lodging, point_of_interest, food, establishment",40.4157577,-3.692606699999999
Hotel Porcel Ganivet,"Calle de Toledo, 111, 113, Madrid",28005,4.3,2614.0,"lodging, point_of_interest, establishment",40.40821989999999,-3.710767599999999
Taberna del Alabardero Madrid - Restaurante Palacio Real,"Calle de Felipe V, 6, Madrid",28005,4.3,1703.0,"bar, restaurant, point_of_interest, food, establishment",40.4186021,-3.710921599999999
Rafaelhoteles Pirámides,"Paseo de las Acacias, 40, Madrid",28005,4.2,1351.0,"lodging, point_of_interest, establishment",40.4024822,-3.711509
Casa de Asturias,"Calle de Argumosa, 4, Madrid",28005,3.8,2499.0,"restaurant, point_of_interest, food, establishment",40.4081497,-3.699811
ibis Styles Madrid Prado,"Calle del Prado, 11, Madrid",28005,4.4,1238.0,"lodging, point_of_interest, establishment",40.4148772,-3.698999
Hotel Santo Domingo,"Calle de San Bernardo, 1, Madrid",28005,3.9,5726.0,"lodging, point_of_interest, establishment",40.4206587,-3.7085482
HRC Hotel,"C/ Ángel 18, Calle de Calatrava, 32, Madrid",28005,3.7,717.0,"lodging, point_of_interest, establishment",40.4098475,-3.7130869
CATS Chill Out Hostel,"Calle de la Cabeza, 24, Madrid",28005,4.0,582.0,"lodging, point_of_interest, establishment",40.4118958,-3.702101099999999
Posada del León de Oro,"Calle de la Cava Baja, 12, Madrid",28005,4.2,1453.0,"restaurant, lodging, point_of_interest, food, establishment",40.4131927,-3.708539400000001
B&B Hotel Madrid Centro Plaza Mayor,"Calle de Atocha, 2, Madrid",28005,4.4,1654.0,"lodging, point_of_interest, establishment",40.41461929999999,-3.705511
Hotel Catalonia Puerta Del Sol,"Calle de Atocha, 23, Madrid",28005,4.7,1239.0,"lodging, point_of_interest, establishment",40.414026,-3.702864300000001
Petit Palace Preciados,"Calle de Galdo, 2, Madrid",28005,4.2,1338.0,"lodging, point_of_interest, establishment",40.4181053,-3.7043429
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,"Cuesta de Santo Domingo, 5, Madrid",28005,4.7,2302.0,"lodging, point_of_interest, establishment",40.419756,-3.709671
Intelier Palacio San Martín,"Plaza de San Martín, 5, Madrid",28005,4.5,1269.0,"lodging, restaurant, point_of_interest, food, establishment",40.4186427,-3.7067589
Petit Palace Arenal,"Calle del Arenal, 16, Madrid",28005,4.4,1677.0,"lodging, point_of_interest, establishment",40.41734899999999,-3.7064961
Hotel Madrisol,"Calle de Núñez de Arce, 1, Madrid",28005,3.5,813.0,"lodging, point_of_interest, establishment",40.415849,-3.7011718
Petit Palace Tres Cruces,"Calle de las Tres Cruces, 6, Madrid",28005,4.4,1381.0,"lodging, point_of_interest, establishment",40.41933119999999,-3.7027806
Hotel Madrid II Castillas,"Calle de la Abada, 7, Madrid",28005,4.3,1313.0,"lodging, point_of_interest, establishment",40.4192202,-3.704376799999999
Hotel Mayerling Madrid - WEB OFICIAL,"Calle del Conde de Romanones, 6, Madrid",28005,4.3,570.0,"lodging, point_of_interest, establishment",40.4134985,-3.7049219
Hotel Eurostars Plaza Mayor,"Calle del Doctor Cortezo, 10, Madrid",28005,4.2,1640.0,"lodging, point_of_interest, establishment",40.41307919999999,-3.703986
Hotel Atlántico,"Gran Vía, 38, Madrid",28005,4.7,1329.0,"lodging, point_of_interest, establishment",40.42040529999999,-3.7045863
Hotel Cortezo,"Calle del Doctor Cortezo, 3, Madrid",28005,4.1,1827.0,"lodging, point_of_interest, establishment",40.4136722,-3.7035722
Hotel Moderno,"Calle del Arenal, 2, Madrid",28005,4.4,2160.0,"lodging, point_of_interest, establishment",40.4170417,-3.7048905
"Room Mate Mario, Madrid","Calle de Campomanes, 4, Madrid",28005,4.5,1058.0,"lodging, point_of_interest, establishment",40.4188302,-3.7093121
Petit Palace Plaza del Carmen,"Plaza del Carmen, 4, Madrid",28005,4.4,1006.0,"lodging, point_of_interest, establishment",40.41903279999999,-3.7029893
URBANSEA Atocha 113,"Calle de Atocha, 113, Madrid",28005,4.0,803.0,"lodging, point_of_interest, establishment",40.4103724,-3.6946021
Hotel Meninas,"Calle de Campomanes, 7, Madrid",28005,4.3,572.0,"lodging, point_of_interest, establishment",40.41911199999999,-3.70932
Eurostars Casa de la Lírica,"Calle de la Aduana, 19, Madrid",28005,4.3,1396.0,"lodging, point_of_interest, establishment",40.41848239999999,-3.7012592
HOTEL MIAU,"Calle del Príncipe, 26, Madrid",28005,4.3,291.0,"lodging, point_of_interest, establishment",40.4143397,-3.7001914
Suite Prado,"Calle de Manuel Fernández y González, 10, Madrid",28005,4.3,315.0,"lodging, point_of_interest, establishment",40.4150778,-3.699087899999999
Hotel Francisco I,"Calle del Arenal, 15, Madrid",28005,4.5,1723.0,"lodging, point_of_interest, establishment",40.4174456,-3.7075983
La Esquina del Real,"Calle de la Amnistía, 4, Madrid",28005,4.6,969.0,"restaurant, point_of_interest, food, establishment",40.4173635,-3.710353399999998
Hotel Vincci Soho,"Calle del Prado, 18, Madrid",28005,4.4,3229.0,"lodging, point_of_interest, establishment",40.4148722,-3.698403799999999
Cats Hostel Madrid Sol,"Calle de los Cañizares, 6, Madrid",28005,4.2,1720.0,"bar, lodging, point_of_interest, establishment",40.41289560000001,-3.701667100000001
Hotel Liabeny,"Calle de la Salud, 3, Madrid",28005,4.5,2988.0,"lodging, point_of_interest, establishment",40.4186836,-3.7040003
Hotel Príncipe 11,"Calle del Príncipe, 11, Madrid",28005,3.5,63.0,"lodging, point_of_interest, establishment",40.4157669,-3.7002701
Belmont,Belmont,28012,,,"locality, political",35.2438483,-81.0377936
R C Bridgeman Appraisals Inc,"4509 Brent Wood Drive, Belmont",28012,,,"finance, point_of_interest, establishment",35.20572,-81.0315362
South Point Freewill Baptist,"297 Gaither Road, Belmont",28012,4.5,8.0,"church, place_of_worship, point_of_interest, establishment",35.2097266,-81.0332502
Gastonia Wedding Photography with Becky Perkins,"513 Paradise Circle, Belmont",28012,,,"point_of_interest, establishment",35.187665,-81.04540999999999
South Point Baptist Church,"124 Horsley Avenue, Belmont",28012,4.9,24.0,"church, place_of_worship, point_of_interest, establishment",35.21574119999999,-81.0366593
Sunoco,"1901 South Point Road, Belmont",28012,4.7,24.0,"gas_station, convenience_store, point_of_interest, food, store, establishment",35.2017323,-81.0234885
Jim's Grocery Bait & Tackle,"1901 South Point Road, Belmont",28012,4.4,180.0,"gas_station, point_of_interest, store, establishment",35.2018971,-81.02345319999999
SOUTH POINT RIDGE HOA,"1113 Victoria Blake Lane, Belmont",28012,4.1,18.0,"point_of_interest, establishment",35.21854519999999,-81.0453697
ATM,"1901 South Point Road, Belmont",28012,,,"atm, finance, point_of_interest, establishment",35.2017479,-81.02342600000001
Belle Meade - Brookline Homes,"4124 Belle Meade Circle, Belmont",28012,,,"general_contractor, point_of_interest, establishment",35.2043744,-81.0341878
